Year,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1984,-9.08,7.41,28.04,-1.77,12.51,-7.58,-7.55,7.52,-5.24,-12.97,-5.65,-27.39,-8.6,0.1,-4.13,-11.44,-3.34,-12.18,-15.78,-10.77,-14.93,-8.97,-8.71,-7.68,10.98,2.29,-41.8,-28.45,-14.1,-25.44,21.82,-9.38,-11.04,-12,-28.33,-38.36,-23.93,-23.31,5.26,-0.85,-10.57,-16.78,-0.52,-22.95,7.82,10.59,-10.84,2.32,-24.64
1985,-0.65,37.3,63.32,32.05,6.35,26.99,38.81,35.38,22.08,36.54,23.71,32.13,51.59,27.81,33.91,39.35,21.53,35.67,8.89,-2.75,21.72,13.6,16.13,15.24,7.27,39.06,18.06,3.93,1.7,-13.87,35.39,37.37,31.07,28.93,6.27,9.05,25.91,12.84,34.66,50.59,27.96,19.36,40.42,5.28,51.43,35.36,15.84,42.35,39.05
1986,-19.78,17.79,8.73,6.39,-3,4.06,18.59,28.2,14.93,28.38,-8.06,1.35,20.79,12.47,1.43,36.6,7.8,21.38,6.03,12.47,-3.59,-9.46,16.64,-5.71,-5.15,-11.24,20.83,56.29,10.25,-18.48,29.66,7.67,4.64,6.2,0.2,-3.1,-6.69,-3.66,21.45,10.8,10.11,10.72,9.75,2.63,19.46,8.17,-14.52,11.85,4.82
1987,-21.09,-3.59,-10.05,5.77,1.79,-19.85,-20.25,1.57,-3.7,-28.1,-25.48,-18.18,-13.37,-3.96,-7.17,-11.76,-6.46,-23.27,16.41,-2.15,-1.77,-17.06,-8.43,-8,-47.64,1.03,47.8,37.08,7.11,19.05,-7.22,15.26,-12.32,-6.58,-17.85,-9.45,-10.05,-11.36,4.33,12.47,-14.71,-18.66,-22.44,-18.87,-9.66,-13.04,-20.23,-13.52,-9.52
1988,-12.93,21.89,8.8,27.25,33.05,12.93,15.07,33.97,19.79,24.22,23.85,36.13,11.68,28.7,40.44,33.78,27.96,23.48,43.4,34.48,32.43,26,21.88,22.94,42.97,3.91,-21.74,7.31,2.08,7.97,22.37,33.56,14.39,18.36,11.77,7.53,9.02,37.06,16.93,25.55,33.95,26.62,35.16,26.19,15.52,16.07,5.48,11.33,13.54
1989,1.96,18.36,-0.33,28.16,89.15,17.51,17.55,6.12,10.4,11.21,35.37,10.14,7.86,13.92,1.08,19.03,0.85,-1.76,9.81,3.64,17.06,3.08,-2.55,1.35,-4.22,-13.31,-8.92,-4.44,17.17,38.35,27.71,39.06,-10.92,23.44,-9.12,18.68,3.54,1.92,17.6,34.62,16.93,0.64,8.64,15.07,-2.88,35.14,-5.18,5.81,8.3
1990,-13.9,-16.66,4.17,8.74,-3.75,-34.58,-30.18,-20.41,-35.5,-36.93,1.46,3.3,-9.26,-6.88,-29.23,-33.28,-18.03,-42,-24.86,-24.29,-15.94,-18.73,-30.59,-12.9,-41.5,-14.15,-32.07,-18.4,-31.6,-2.34,-2.3,-27.92,-36.86,-18.04,-24.05,-13.59,-20.78,-21.31,-24.15,-7.62,-27.79,-22.86,-29.27,-25.87,-39.68,-17.48,-21.08,-32.65,-21.21
1991,17.82,29.13,-6.64,45.72,26.68,71.26,25.76,24.01,57.92,63.41,112.57,121.38,220.58,51.4,75.59,84.99,41.32,52,23.45,32.89,46.97,45.36,40.03,36.11,32.09,64.28,45.27,39.31,-0.29,9.4,23.58,41.68,35.28,57.12,80.62,73.4,63.7,55.38,29.6,39.31,40.62,57.41,54.02,49.56,46.31,50.37,41.65,48.92,46.25
1992,10.93,11.95,-13.97,-12.58,-15.15,27.81,47.88,31.48,39.16,28.44,12.54,13.59,0.74,11.85,47.69,26.64,27.48,32.05,23.93,0.57,16.93,18.49,50.29,5.36,10.84,21.61,32.78,16.95,-10.41,17.93,14.28,18,21.1,14.54,33.69,25.33,47.27,26.76,21.23,26.34,32.38,31.69,27.96,53.12,73.08,32.88,23.52,57.16,6.79
1993,7.66,13.12,6.53,12.91,6.51,13.76,54.04,29,33.27,7.66,-0.69,-11.99,3.36,22.77,26.14,18.3,33.28,23.71,55.61,45.59,30.59,19.09,49,22.9,2.02,54.56,59.86,-1.36,-48.81,33.07,15.52,86.55,14.4,21.34,11.64,18.27,49.94,27.19,15.13,-1.44,42.27,30.3,9.6,34.09,36.85,23.11,11.93,36.3,1.22
1994,-16.21,1.24,-14.29,7.18,17.41,-8.87,-29.4,-3.26,-12.35,-15.29,6.9,-8.27,-30.3,4.54,8.87,-7.95,-1.59,-29.58,9.65,-0.29,6.98,0.27,-8.11,-3.34,-21.65,23.07,-24.91,-4.83,-9.8,1.73,-9.44,-9.45,-11.98,-8.01,13.38,8.78,12.39,4.91,7.66,-5.34,-11.97,-4.11,-17.77,-20.98,3.78,-2.16,-13.15,2.2,-20.53
1995,53.33,20.02,6.36,29.73,98.06,0.85,-0.8,28.86,0.82,-5.18,39.86,63.74,93,18.63,17.37,-7.8,34.03,23.8,8.31,23.96,24.41,38.27,3.66,32.69,-8.36,22,11.01,6.8,-10.07,19.29,27.65,29.59,36.63,40.99,40.75,53.8,56.48,72.6,13.7,1.93,23.1,17.63,0.62,4.74,50.41,40.49,12.53,41.71,20.54
1996,20.81,5.55,52.34,-9.7,4.96,11.5,-3.25,-3.58,18.23,18.64,9.13,11.22,17.89,19.3,22.37,5.61,29.19,0.25,16.4,14.82,12.23,28.53,21.69,58.42,25.5,35.3,-7.6,14.79,7.65,64.95,13.95,0.66,24.66,22.13,14.9,6.8,10.58,17.85,22.04,46.81,5.41,15.15,20.38,1.77,28.86,16.94,-12.33,26.29,25.04
1997,23.05,21.01,63.45,-4.69,20.38,-13.13,2.01,32.51,5.61,10.38,10.26,5.3,-1.71,21.08,14.65,10.04,31.14,20.89,26.87,27.77,29.67,25.54,25.48,67.77,43.73,46.54,-14,10.26,-10.35,18.71,29.85,31.87,20.68,26.9,-1.1,1.47,13.97,20.55,22.12,13.86,27.41,11.36,19.18,1.05,55.35,28.33,77.96,56.91,15.76
1998,-1.41,-4.19,47.02,16.04,6.84,-10.35,-2.03,1.55,-8.93,4.62,-33.69,-9.58,-4.71,-9.99,2.4,-22.18,-12.9,-6.93,-24.86,-30,-16.8,-11.36,-0.65,10.69,-15.57,-2.03,-46.91,2.03,11.69,-48.73,10.06,18.69,3.35,3.87,1.08,27.68,0,-22.49,-14,-7.16,-5.69,-7,31.27,-17.55,-8.87,0.75,-26.98,-2.06,-1.2
1999,-18.86,-1.88,-20.31,-9.15,-29.21,16.51,44.79,19.31,5.62,-6.67,-11.4,35.94,74.99,7.33,7.71,-20.2,0.91,-1.33,20.48,8.39,27.16,25.77,-4.07,3.32,2.29,-18.66,-7.1,42.89,3.97,26.46,1.06,140.35,-23.8,35.76,138.66,139.56,146.84,86.22,-0.3,-0.62,4.62,15.76,3.07,1.72,-1.39,-8.63,1.07,10.59,28.08
